Infect probabilities forecasted using arima model,
165,1137.102132
166,823.8519598
167,823.1082039
168,1137.365884
169,1486.123125
170,839.6533708
171,1491.370949
172,1784.723536
173,1579.031278
174,1628.262301
175,1596.42655
176,1674.880667
177,620.7947554
178,973.9009778
179,1335.786304
180,958.7893887
181,921.6718941
182,716.5548772
183,1617.652507
184,1341.837356
185,1178.876729
186,1528.602508
187,1010.487258
188,1602.728397
189,1073.202519
190,1507.94747
191,776.9576798
192,1744.868773
193,1603.496401
194,732.534402
195,771.3806229
196,837.5585583
197,1109.016769
198,1363.50702
199,1182.04017
200,1554.329086
201,1032.56908
202,1105.375177
203,821.396292
204,601.8208711
205,1465.519951
206,1224.515459
207,608.7250751
208,1303.443154
209,591.0567637
210,731.2668409
211,1066.24376
212,1405.806134
213,1515.132909
214,1251.90803
215,1120.919816
216,1038.569297
217,1097.884682
218,790.5151313
219,1489.618217
220,1171.589362
221,1525.994664
222,1252.648942
223,1643.683422
224,1575.310059
225,1510.48582
226,1075.384854
227,1634.67629
228,873.2409878
229,1027.593362
230,1348.539923
231,1580.852855
232,1244.405374
233,663.6009773
234,682.1529762
235,775.4772513
236,1556.277462
237,966.0690371
238,1386.316765
239,757.937244
240,1191.8693
241,1052.297733
242,1179.44783
243,1648.861942
244,1531.191775
245,1369.640207
246,883.9633312
247,1142.504342
248,1088.530198
249,884.7720649
250,1176.421813
251,1595.119663
252,1603.638302
253,1044.520563
254,1475.313492
255,777.2509241
256,1329.286705
257,1652.96798
258,899.6443798
259,1109.784369
260,1672.502618
261,914.0947775
262,863.0741314
263,809.4602649
264,1174.665259
265,1543.850759
266,929.2297772
267,605.1635065
268,991.7183337
269,1170.027462
270,1553.625782
271,1731.124888
272,1231.178251
273,1012.551066
274,776.3231516
275,750.1396079
276,826.2854493
277,1757.934084
278,1518.677748
279,1615.402647
280,755.3071895
281,1186.637975
282,735.8911683
283,1763.082445
284,804.4673096
285,1342.801782
286,1211.85698
287,1315.382304
288,738.5075564
289,1522.859549
290,1744.034707
291,1502.977833
292,1387.08072
293,974.4317677
294,672.0814365
295,837.3501032
296,1623.135233
297,1619.550795
298,1058.498284
299,1675.961807
300,1347.584381
301,1614.695823
302,700.4997401
303,1790.132412
304,858.0327614
305,1498.793344
306,949.6788552
307,908.8637515
308,738.121306
309,1207.008787
310,1261.43336
311,1650.869795
312,617.6759737
313,1758.166582
314,1732.59075
315,970.8237699
316,1675.097722
317,588.055778
318,1591.60263
319,842.9173358
320,1621.023572
321,1480.56243
322,1698.018578
323,1681.243616
324,1549.39331
325,1137.581709
326,1120.168622
327,1300.310231
328,1573.811102
329,1539.034478
330,1492.612804
331,894.7737949
332,1172.073215
333,1298.208615
334,1221.573294
335,1614.496899
336,1577.487216
337,1185.672667
338,874.9422765
339,1315.409625
340,1513.425722
341,859.3173598
342,1581.354951
343,755.6561171
344,1008.449686
345,929.0486156
346,1684.382802
347,1458.252099
348,1479.493952
349,1118.271951
350,1118.216958
351,792.7048338
352,580.512359
353,1626.476247
354,739.1723279
355,1429.20958
356,1121.971652
357,1038.602217
358,1242.856055
359,1318.665475
360,1342.792619
361,1509.2746
362,1401.663414
363,606.0557283
364,1791.580723
365,981.9918714
366,1671.0403
367,1768.250159
368,1692.443883
369,1703.473328
370,1466.088234
371,1177.038548
372,1738.880157
373,862.6727869
374,1008.706422
375,862.4244543
376,739.1003911
377,1110.042721
378,1676.753213
379,802.0589279
380,711.1698142
381,1144.622823
382,1157.309191
383,1067.361591
384,1723.584165
385,757.1676629
386,761.4054197
387,972.9061666
388,1281.779853
389,1108.08035
390,1205.993502
391,978.1065333
392,1297.234058
393,1137.801771
394,1048.532958
395,1170.098247
396,1148.142704
397,1309.111011
398,785.9715653
399,1408.748697
400,657.7092123
401,1230.872477
402,1419.478098
403,1280.538884
404,1226.370602
405,723.8746887
406,1447.756957
407,1539.219573
408,1245.530073
409,768.4151648
410,1063.021637
411,1456.484976
412,1480.245572
413,942.6233667
414,1464.030237
415,1384.869756
416,1564.393049
417,1383.299615
418,841.026519
419,1380.839556
420,1436.074364
421,1678.63841
422,1469.8701
423,727.7240009
424,786.0786244
425,684.85155
426,1369.479264
427,817.4305483
428,1648.74349
429,1022.569959
430,853.8302168
431,920.1626877
432,786.2258503
433,1069.303433
434,1338.353024
435,1232.470897
436,1445.134054
437,782.6423826
438,1079.156446
439,803.2504523
440,1385.123887
441,1069.743241
442,1306.925867
443,1042.107152
444,974.7793383
445,1714.928908
446,1130.52224
447,1713.261593
448,1797.821369
449,1506.627558
450,993.6469661
451,1016.612021
452,1003.67833
453,1459.610198
454,683.4203647
455,1051.657426
456,1427.529335
457,849.4753839
458,820.6962513
459,895.5183211
460,849.3334805
461,638.1200606
462,1081.645778
463,1640.325592
464,880.928767
465,654.041641
466,1018.013808
467,1642.476198
468,837.3223919
469,1390.566411
470,1468.201321
471,859.5037493
472,1385.54896
473,715.5206926
474,1256.005538
475,1463.266249
476,1158.98975
477,948.6320067
478,703.5280979
479,665.4133043
480,638.2278362
481,1414.960704
482,1773.297194
483,1633.201798
484,1478.745446
485,1516.989615
486,1551.063475
487,1412.921833
488,645.5276662
489,747.5439744
490,1070.210301
491,1157.463643
492,1201.570776
493,677.922343
494,627.4637536
495,721.5914091
496,1659.132461
497,1747.949629
498,710.40656
499,1674.408976
500,1176.497616
501,1778.116814
502,770.8616029
503,665.7534363
504,1308.422839
505,919.8905003
506,1648.199138
507,718.3069136
508,1128.918807
509,710.1201111
510,793.7570701
511,1195.701101
512,1228.662215
513,1415.165292
514,970.5799256
515,1141.724271
516,1374.04392
517,1408.140774
518,1231.886724
519,643.6032099
520,858.1723345
521,1649.849036
522,979.6565356
523,1131.134212
524,1571.633204
525,783.5122221
526,1410.23186
527,825.3922761
528,702.8003503
529,580.9223258
530,1366.614593
531,1388.216623
532,1401.864646
533,1657.119272
534,1155.54358
535,937.4711978
536,771.7913628
537,989.2845157
538,596.5137821
539,1460.239253
540,1056.523938
541,960.2868288
542,1134.558875
543,893.4667822
544,1460.54017
545,794.2773878
546,797.3391096
547,1627.179404
548,757.5735176
549,1787.13441
550,1495.089259
551,898.0590789
552,701.0833878
553,852.124292
554,1502.60347
555,689.5898173
556,1404.99541
557,1333.128262
558,871.7323075
559,706.1280586
560,1020.617174
561,1788.457571
562,1273.092071
563,1041.079602
564,655.2340925
565,683.4203647
566,1090.857678
567,1738.734012
568,1636.434664
569,1286.859186
570,1338.164735
571,1650.288515
572,1026.621267
573,1257.399902
574,1589.428235
575,1489.432116
576,1778.280304
577,1598.714923
578,596.8007661
579,651.4645236
580,1275.83648
581,1075.588953
582,1291.109726
583,980.0459648
584,614.9683318
585,1183.282362
586,632.2578226
587,966.4369531
588,988.8778642
589,1619.018788
590,1608.855116
591,830.0544717
592,1712.119533
593,748.1759354
594,984.740932
595,679.7290006
596,1435.766586
597,1159.45061
598,1149.180739
599,1680.268953
600,1671.368029
601,1341.030012
602,860.3482744
603,930.024007
604,953.4269033
605,1411.484728
606,707.0964022
607,1115.992529
608,1252.163372
609,1040.806784
610,711.447213
611,1041.9092
612,1716.427386
613,1365.769891
614,1582.123257
615,878.8312549
616,1209.1023
617,1493.259644
618,819.3355044
619,1708.474056
620,1254.424712
621,1754.682919
622,1470.231188
623,1682.538499
624,1392.576776
625,1715.250349
626,1252.041202
627,746.3709867
628,876.5993558
629,875.2592768
630,1016.052714
631,923.7040689
632,1076.794404
633,936.7375755
634,1098.684398
635,1723.948379
636,955.6043075
637,1770.458902
638,888.0329937
639,779.07755
640,1220.37312
641,1101.822707
642,1507.718781
643,1629.830167
644,1184.425294
645,681.3209572
646,706.724592
647,645.1359474
648,1586.359136
649,1333.234102
650,617.945076
651,1655.077049
652,1766.105689
653,1351.386403
654,664.2653649
655,1537.685801
656,1490.413216
657,1212.497504
658,1678.322305
659,1045.80495
660,1144.78395
661,1014.453745
662,1789.089126
663,1386.415195
664,1261.02247
665,795.8649377
666,756.7259277
667,934.5742816
668,1201.960661
669,1572.501001
670,1204.878739
671,1216.13198
672,1578.702923
673,683.9324577
674,1638.260539
675,677.6149014
676,927.6968918
677,1118.206668
678,1233.282872
679,1280.726189
680,1175.286515
681,1029.017668
682,640.9518444
683,905.9047455
684,619.5929984
685,1701.686217
686,845.9712101
687,1018.745842
688,1186.477911
689,1619.111933
690,954.0225001
691,1367.417449
692,1436.674468
693,1294.611712
694,826.1376296
695,1564.154279
696,993.0797742
697,1491.040851
698,748.6978579
699,766.9223904
700,1711.275375
701,1205.518729
702,682.5136942
703,1538.651511
704,705.3777131
705,1689.325513
706,1469.88866
707,951.0770201
708,1534.002873
709,1090.63177
710,1538.955289
711,839.7648725
712,981.5106402
713,1600.483976
714,1552.562868
715,1307.951852
716,1357.641556
717,1319.62412
718,727.4962928
719,1399.438836
720,704.2884628
721,894.1919543
722,1001.98825
723,901.5992709
724,1732.227586
725,669.4938632
726,1521.538613
727,612.2516947
728,729.3218331
729,1168.886479
730,1410.037233
731,747.7869623
732,1701.324255
733,884.0435728
734,1642.424745
735,951.5939599
736,1091.229333
737,870.721164
738,1512.305842
739,1726.881591
740,760.4155207
741,1142.401136
742,769.4956116
743,625.5930582
744,1104.860836
745,951.8357606
746,1335.358809
747,1282.7524
748,1049.091529
749,705.7063845
750,1455.573655
751,1619.905594
752,1433.859438
753,1450.464997
754,1235.907693
755,630.7066798
756,1482.367687
757,1289.718597
758,1481.197348
759,854.713544
760,1691.763186
761,961.6160582
762,945.3848294
763,991.9242497
764,643.518357
765,1579.827943
766,1150.352188
767,1087.744972
768,1177.789995
769,930.2489121
770,807.3534422
771,799.5563529
772,1412.573421
773,1760.020696
774,1554.468318
775,841.5625913
776,1373.491731
777,834.5148428
778,668.4473981
779,1704.846181
780,1551.207941
781,1688.716778
782,1549.045917
783,619.3526502
784,779.6251946
785,844.4442114
786,1018.19733
787,1626.760142
788,1343.976579
789,1252.814454
790,837.4900669
791,1296.793893
792,1738.038215
793,857.964627
794,1248.499146
795,761.038784
796,1011.308025
797,626.008421
798,1651.709928
799,1729.488345
800,1101.812965
801,1547.926695
802,936.2676982
803,668.519474
804,1420.268444
805,1580.894336
806,696.2650784
807,1776.644895
808,956.5373065
809,600.6033431
810,1108.032718
811,747.4729399
812,1508.670347
813,986.3067603
814,1474.468233
815,789.5896257
816,1338.093778
817,1073.006019
818,1042.534568
819,1623.683231
820,1092.720813
821,912.5836114
822,591.1562402
823,1398.702581
824,709.1594073
825,766.009761
826,845.0028288
827,857.6082089
828,1412.934852
829,1540.475135
830,803.0378839
831,1325.829801
832,759.582304
833,1471.404939
834,1108.08035
835,1003.139176
836,994.9986374
837,597.3351541
838,1430.95702
839,879.4530295
840,788.7047121
841,631.9622867
842,664.0601008
843,1373.202518
844,1772.67206
845,1591.563841
846,829.8968136
847,769.406319
848,1473.663154
849,1393.753193
850,1762.091938
851,1465.1377
852,1661.332196
853,1748.625824
854,861.1206829
855,1501.190672
856,1061.810951
857,1349.004969
858,963.0072564
859,705.3777131
860,718.8841244
861,965.5891789
862,1208.902177
863,1256.13303
864,1014.857083
865,822.0742652
866,1514.735817
867,1079.741508
868,899.414439
869,647.866451
870,1692.819123
871,1394.13791
872,1631.428217
873,672.2501252
874,1438.216724
875,903.5406718
876,665.8263269
877,1736.081693
878,1167.408775
879,1483.830235
880,744.2277438
881,1206.540843
882,1011.974513
883,1521.056668
884,1630.787383
885,669.3076235
886,824.5912758
887,1415.089239
888,1014.218305
889,876.0918474
890,1749.903827
891,1416.95785
892,960.3951825
893,986.4712471
894,1158.197959
895,854.6828623
896,1329.116586
897,815.8614036
898,738.071174
899,990.6932056
900,959.2928627
901,1093.383974
902,1125.811097
903,642.0659917
904,1528.020109
905,680.7411686
906,842.1238122
907,1119.313376
908,1006.076921
909,1744.692835
910,1288.193493
911,1626.690488
912,946.4823728
913,920.9518024
914,976.6108057
915,1474.736743
916,1285.359308
917,1275.14605
918,1174.606562
919,851.4653996
920,1013.709463
921,976.0243145
922,1117.339282
923,1712.734019
924,1238.332222
925,1147.104648
926,717.301937
927,1775.454071
928,1017.726088
929,1265.574873
930,825.0728002
931,1003.516663
932,1293.120598
933,996.7757522
934,1779.118209
935,1258.942343
936,1303.363744
937,1596.014465
938,952.3068864
939,911.6332568
940,939.9002215
941,637.9848761
942,1775.420264
943,1244.928956
944,1737.816574
945,1062.475804
946,1133.658076
947,1600.826108
948,1236.667461
949,1032.530672
950,1685.684365
951,1027.419789
952,1576.6717
953,1042.079617
954,831.3454341
955,1466.313089
956,1034.564272
957,924.7806121
958,1368.89621
959,1765.70356
960,1245.640891
961,630.3449973
962,1488.48175
963,690.4941855
964,1181.411023
965,1072.492553
966,600.5026646
967,742.1655845
968,950.8697538
969,1758.937465
970,1130.27296
971,1136.932349
972,800.1709095
973,1619.905838
974,1097.638418
975,931.1585259
976,814.3787586
977,1182.191799
978,1551.877066
979,691.7140509
980,1136.999857
981,1160.68851
982,800.5707619
983,646.9317538
984,801.9598498
985,1471.56233
986,1368.575022
987,1656.060686
988,1488.311152
989,1041.318302
990,1713.553074
991,940.0030168
992,1347.324414
993,858.2946303
994,1193.229871
995,1144.764312
996,1746.691734
997,1515.246385
998,1382.821086
999,1008.160337
1000,1515.650629
1001,1428.841696
1002,674.5999381
1003,1488.728428
1004,740.8256165
1005,1350.153616
1006,1694.651933
1007,997.8553884
1008,833.9968724
1009,1027.927129
1010,993.2498837
1011,737.8094813
1012,647.8409099
1013,1035.088999
1014,1218.8176
1015,1037.921257
1016,962.080216
1017,1217.873227
1018,1693.147737
1019,1391.499763
1020,1297.540926
1021,1406.000069
1022,644.2073348
1023,589.4800144
1024,1063.501537
1025,873.7594514
1026,1785.106166
1027,1781.39622
1028,1085.262032
1029,1403.18469
1030,1100.148431
1031,748.310551
1032,1066.976355
1033,1682.950366
1034,845.5057766
1035,852.4168196
1036,1198.069441
1037,1700.837515
1038,898.6664881
1039,1684.110891
1040,763.2956691
1041,735.3022431
1042,1756.512033
1043,873.2616439
1044,1628.785939
1045,1251.848329
1046,1523.259997
1047,1454.581208
1048,956.1412028
1049,1728.368157
1050,1525.309121
1051,1413.181441
1052,1466.475363
1053,1211.187353
1054,1167.137721
1055,949.803136
1056,1642.27141
1057,1118.904659
1058,1562.784822
1059,1718.004928
1060,1112.350712
1061,1737.583275
1062,817.7766301
1063,1564.153962
1064,1149.265246
1065,1576.395683
1066,1664.537246
1067,932.2170942
1068,1234.730921
1069,1112.892019
1070,864.5324045
1071,1378.763739
1072,613.5742511
1073,1543.424554
1074,832.6104476
1075,1625.104432
1076,1641.356422
1077,1635.771701
1078,670.5111851
1079,813.1308913
1080,841.7246069
1081,994.0743881
1082,1756.307876
1083,1608.341529
1084,1094.862928
1085,788.2269871
1086,1226.25193
1087,1483.003987
1088,1526.260611
1089,1120.489814
1090,733.9272147
1091,745.6936762
1092,665.0609215
1093,601.4223136
1094,1512.101417
1095,606.5009906
1096,1222.834352
1097,1655.677009
1098,1015.510493
1099,1310.856509
1100,624.8774325
1101,648.0364152
1102,766.4093074
1103,1577.061491
1104,1478.529627
1105,1113.673254
1106,1498.149257
1107,1195.632982
1108,1135.064657
1109,850.2151623
1110,944.3216505
1111,789.7842971
1112,1591.456728
1113,908.9781077
1114,1476.419711
1115,800.3007575
1116,1472.974051
1117,1599.932002
1118,701.0100181
1119,1735.583192
1120,1725.805473
1121,1518.474248
1122,936.6626424
1123,1013.965274
1124,1754.33457
1125,964.5609259
1126,1668.278014
1127,1146.455154
1128,871.4646659
1129,1640.485392
1130,1305.86254
1131,687.6335024
1132,1113.620648
1133,899.8665702
1134,1659.769031
1135,900.5835182
1136,899.3683191
1137,1622.594002
1138,1505.659724
1139,1265.58281
1140,1217.227213
1141,1421.797481
1142,1365.028682
1143,1048.325027
1144,1711.638819
1145,758.7857294
1146,1606.950768
1147,1514.703105
1148,1296.356697
1149,754.0234404
1150,1701.638843
1151,995.1501709
1152,1435.850056
1153,762.3990498
1154,837.3223919
1155,1589.426076
1156,1793.846149
1157,1079.206523
1158,1036.138079
1159,1414.596293
1160,814.6511131
1161,631.2509311
1162,1564.503637
1163,1442.995506
1164,1491.595486
1165,849.3571062
1166,847.4234231
1167,1081.728742
1168,1071.485351
1169,845.8929709
1170,1739.644022
1171,675.4866632
1172,1190.47399
1173,983.6190994
1174,1591.929221
1175,919.5637025
1176,811.278061
1177,1586.482221
1178,1296.966055
1179,595.3287268
1180,701.5625451
1181,1672.975851
1182,584.660957
1183,988.8203965
1184,1028.558229
1185,1479.557623
1186,1263.279935
1187,798.1745183
1188,792.8703482
1189,874.7581091
1190,1337.444821
1191,656.6417472
1192,1634.252419
1193,809.1016463
1194,1658.853889
1195,785.1077458
1196,957.1747441
1197,1174.677251
1198,1134.161091
1199,1198.458252
1200,1616.267205
1201,1106.373845
1202,928.2776966
1203,1499.711499
1204,758.9274005
1205,1609.316822
1206,1480.098639
1207,683.5301442
1208,1077.794751
1209,1558.604536
1210,842.7352776
1211,660.6897566
1212,903.317675
1213,1363.533424
1214,627.069268
1215,1032.250974
1216,1150.540122
1217,1094.892744
1218,1389.223536
1219,984.8464547
1220,1361.966016
1221,1553.706465
1222,1332.324935
1223,778.3070559
1224,1216.990368
1225,1377.794186
1226,904.3127549
1227,1270.140525
1228,1219.590854
1229,976.1943949
1230,1593.121177
1231,1122.574386
1232,1635.764886
1233,747.3591012
1234,588.5921462
1235,1444.771879
1236,868.9813726
1237,1243.791466
1238,1698.696251
1239,635.6310112
1240,1691.523255
1241,840.8064602
1242,1477.018159
1243,945.3579597
1244,1270.325027
1245,1431.963515
1246,1589.914509
1247,1571.084121
1248,771.4161692
1249,670.6701415
1250,1761.023284
1251,601.4903226
1252,785.7019265
1253,1251.303588
1254,596.7048687
1255,1288.701624
1256,1342.125743
1257,1481.788872
1258,1433.38896
1259,870.5766276
1260,1102.319229
1261,1493.698859
1262,1629.65177
1263,621.112596
1264,1344.5777
1265,1208.966012
1266,885.0432485
1267,777.0597262
1268,1438.041028
1269,1559.704567
1270,723.3745805
1271,1377.869143
1272,1653.359859
1273,1400.360832
1274,1639.670936
1275,973.2495583
1276,1368.528422
1277,1207.69431
1278,1561.811831
1279,736.127701
1280,1128.698393
1281,1088.9587
1282,1369.313816
1283,1171.152883
1284,1774.355335
1285,1501.463778
1286,758.2772783
1287,1155.238173
1288,840.1539612
1289,1083.637462
1290,1694.210782
1291,884.5814715
1292,798.8448145
1293,1526.800809
1294,1781.071443
1295,1454.574512
1296,775.7667775
1297,1354.335507
1298,1583.318056
1299,1254.301918
1300,1025.444521
1301,1614.363529
1302,1766.49273
1303,655.4891168
1304,1719.777505
1305,1338.199905
1306,1680.923242
1307,1623.678139
1308,954.0968867
1309,658.8962135
1310,1201.156298
1311,662.1624975
1312,1134.386516
1313,1189.18724
1314,865.0732483
1315,1326.035547
1316,1449.45313
1317,1445.745703
1318,1136.980331
1319,1590.469189
1320,760.7916392
1321,1476.061182
1322,1570.229161
1323,695.0897579
1324,1381.899255
1325,1644.508302
1326,1132.8912
1327,782.1470283
1328,687.2114849
1329,1228.347552
1330,937.6917851
1331,728.9552935
1332,580.512359
1333,1515.3171
1334,997.492862
1335,1782.303451
1336,1790.767942
1337,768.9836981
1338,1184.251922
1339,870.256122
1340,931.5908428
1341,1318.460229
1342,1531.931173
1343,1197.108883
1344,763.5364501
1345,1664.806346
1346,934.6273778
1347,1263.803086
1348,1523.301948
1349,1582.595169
1350,1536.535366
1351,889.6342922
1352,1462.764281
1353,1754.780892
1354,795.1792343
1355,1223.998575
1356,853.0445841
1357,897.1170594
1358,818.2128246
1359,666.6619247
1360,722.5001362
1361,1107.66168
1362,1127.04738
1363,1672.352904
1364,756.2235177
1365,790.9840107
1366,1617.425047
1367,1485.630998
1368,1016.313112
1369,1141.644133
1370,1353.183135
1371,1301.519826
1372,1409.313783
1373,1146.562414
1374,1789.426681
1375,1674.823672
1376,1701.427346
1377,966.1159876
1378,746.2122229
1379,994.6275304
1380,1524.413189
1381,628.3841411
1382,892.3037189
1383,1069.140212
1384,812.4206203
1385,1268.063374
1386,661.0678597
1387,1128.868443
1388,632.7612463
1389,972.2237856
1390,925.9953064
1391,1757.362821
1392,846.943295
1393,1700.238482
1394,827.1898886
1395,630.2120856
1396,1717.017435
1397,722.4460556
1398,746.5780573
1399,1379.285981
1400,659.1350507
1401,1029.75212
1402,928.529545
1403,983.1160258
1404,704.7383986
1405,1688.86299
1406,609.2990314
1407,819.7501846
1408,1013.402701
1409,784.5761362
1410,1120.35099
1411,875.2481475
1412,773.274711
1413,1289.304069
1414,1561.62548
1415,1365.357301
1416,1493.872631
1417,1427.912423
1418,1653.618837
1419,1093.309252
1420,654.1173011
1421,1151.958752
1422,942.1342229
1423,968.1962985
1424,1543.612956
1425,1190.535801
1426,871.1489595
1427,663.1093683
1428,713.0573951
1429,1553.58899
1430,1515.9781
1431,1512.86651
1432,994.8923992
1433,1405.756804
1434,1607.023141
1435,819.4583654
1436,1080.808247
1437,638.4406809
1438,601.795266
1439,853.4296646
1440,1738.45045
1441,1383.106412
1442,1145.596598
1443,904.7482664
1444,1519.437818
1445,1233.575327
1446,611.494451
1447,1138.880621
1448,1729.086592
1449,1556.799288
1450,742.0379397
1451,1709.314662
1452,1019.315308
1453,1546.754771
1454,916.6867888
1455,831.3336892
1456,853.1486769
1457,662.4985946
1458,976.0583384
1459,1774.599582
1460,1551.731646
1461,1331.809907
1462,966.9134689
1463,758.7172638
1464,1403.909911
1465,1723.006104
1466,1259.950678
1467,1680.820556
1468,1665.665119
1469,1376.61368
1470,629.9248533
1471,1224.495094
1472,927.8929229
1473,660.8991604
1474,806.038552
1475,1625.711049
1476,1426.298373
1477,913.3277063
1478,1758.937465
1479,1598.297536
1480,947.4223479
1481,756.5552742
1482,893.8193342
1483,715.7659531
1484,891.0150052
1485,1344.267064
1486,1508.006271
1487,1496.288126
1488,1032.637211
1489,1166.331542
1490,612.1548825
1491,1425.204202
1492,1668.976839
1493,865.8374052
1494,630.2971195
1495,1135.160071
1496,1022.32171
1497,1640.764401
1498,1338.117727
1499,774.5539466
1500,822.5102225
1501,781.4856484
1502,1160.828373
1503,1035.468289
1504,643.0979109
1505,1109.62407
1506,1142.365029
1507,985.4574823
1508,765.5478929
1509,1376.864405
1510,1145.423031
1511,1001.394086
1512,1542.322675
1513,1004.066363
1514,1738.554292
1515,1605.259259
1516,1693.341615
1517,652.8727504
1518,1356.301662
1519,1694.424546
1520,698.7714121
1521,1368.99129
1522,1043.43418
1523,1414.848498
1524,661.1032334
1525,1234.470029
1526,1021.656575
1527,705.6241495
1528,782.7110063
1529,1482.629087
1530,699.1686744
1531,1036.675703
1532,891.4700706
1533,1405.244299
1534,819.7867504
1535,1316.011458
1536,845.697346
1537,752.7635466
1538,1105.256317
1539,1462.994676
1540,1607.248733
1541,746.4851952
1542,738.5075564
1543,1561.152366
1544,1011.515152
1545,1589.174688
1546,1132.53754
1547,1433.094897
1548,1028.614646
1549,1477.78457
1550,1104.767716
1551,856.0071802
1552,1045.565257
1553,1336.241283
1554,578.8423004
1555,1054.595937
1556,576.4146399
1557,773.1275485
1558,1458.760752
1559,1026.028658
1560,1635.624701
1561,595.7443254
1562,776.6513827
1563,789.4118793
1564,900.3870397
1565,1785.169257
1566,672.1070321
1567,1416.39234
1568,863.701223
1569,787.8865728
1570,986.2666823
1571,664.052724
1572,1296.418612
1573,1405.607311
1574,1256.573339
1575,1417.430779
1576,1019.123251
1577,1151.704865
1578,1200.820159
1579,776.5212176
1580,1272.679345
1581,892.0769686
1582,1207.051396
1583,1205.940647
1584,1683.22591
1585,1693.150424
1586,733.6224362
1587,1147.653605
1588,1172.209872
1589,933.7983463
1590,1599.781525
1591,1748.472293
1592,1206.275068
1593,594.5892945
1594,1394.258679
1595,1369.090229
1596,1095.276246
1597,1546.279028
1598,1785.994164
1599,1002.206156
1600,1646.209454
1601,834.5372688
1602,1290.741563
1603,586.2838332
1604,1329.243492
1605,604.1521569
1606,1174.184266
1607,1438.216851
1608,727.104919
1609,1509.010942
1610,593.5049276
1611,1119.900718
1612,1209.037514
1613,664.3670305
1614,1289.164221
1615,1516.81592
1616,601.0101161
1617,1553.403784
1618,1547.414671
1619,788.6970864
1620,1502.676845
1621,1288.701624
1622,1010.956571
1623,1116.493786
1624,777.0686666
1625,1113.439414
1626,1395.190398
1627,746.4844475
1628,1453.857148
1629,1553.225444
1630,686.7070258
1631,1416.092865
1632,1152.648025
1633,870.589362
1634,1550.326465
1635,723.742637
1636,693.2944133
1637,873.5195184
1638,946.6839473
1639,945.1397749
1640,1603.469896
1641,846.8345946
1642,1402.602684
1643,1110.444452
1644,880.3518026
1645,739.4193493
1646,1783.77891
1647,1041.605259
1648,1222.258122
1649,963.2882541
1650,699.1198411
1651,946.6839473
1652,1696.467411
1653,1083.725765
1654,718.60777
1655,625.1343553
1656,1752.282669
1657,998.840425
1658,1614.459057
1659,872.1481682
1660,779.7559009
1661,1466.980726
1662,1265.634907
1663,604.1090797
1664,1474.163843
1665,1668.425414
1666,1198.897289
1667,699.7841873
1668,1572.362825
